1. Dados Sobre o Brasil;;;;
"Dados de superfície(em km quadrados), população estimada e densidade(hab/km quadrados) das unidades federativas(UF) do Brasil, por região.";;;;
"Fonte: IBGE, Contagem da População, 2007";;;;
;;;;
;;Superfície;População;Densidade
Norte;RO;"237.576,167";1.453.756;"6,12"
;AC;"164.165,250";653.385;"3,98"
;AM;"1.559.161,810";3.221.940;"2,07"
;RR;"224.298,980";395.725;"1,76"
;PA;"1.247.689,515";7.065.573;"5,66"
;AP;"142.814,585";587.311;"4,11"
;TO;"277.620,914";1.243.627;"4,48"
;Subtot;"3.853.327,221";14.621.317;"3,79"
Nordeste;MA;"331.983,293";6.118.995;"18,43"
;PI;"251.529,186";3.032.435;"12,06"
;CE;"148.825,602";8.185.250;"55,00"
;RN;"52.796,791";3.013.740;"57,08"
;PB;"56.439,838";3.641.397;"64,52"
;PE;"98.311,616";8.486.638;"86,32"
;AL;"27.767,661";3.037.231;"109,38"
;SE;"21.910,348";1.939.426;"88,52"
;BA;"564.692,669";14.080.670;"24,94"
;Subtot;"1.554.257,004";51.535.782;"33,16"
Sudeste;MG;"586.528,293";19.273.533;"32,86"
;ES;"46.077,519";3.351.669;"72,74"
;RJ;"43.696,054";15.420.450;"352,90"
;SP;"248.209,426";39.827.690;"160,46"
;Subtot;"924.511,292";77.873.342;"84,23"
Sul;PR;"199.314,850";10.284.503;"51,60"
;SC;"95.346,181";5.866.487;"61,53"
;RS;"281.748,583";10.582.287;"37,56"
;Subtot;"576.409,614";26.733.277;"46,38"
Centro-Oeste;MS;"357.124,962";2.265.813;"6,34"
;MT;"903.357,908";2.854.642;"3,16"
;GO;"340.086,698";5.647.035;"16,60"
;DF;"5.801,937";2.455.903;"423,29"
;Subtot;"1.606.371,505";13.223.393;"8,23"
Brasil;Total;"8.514.876,636";183.987.111;"21,61"
